cty,Name,Change_in_Fraction_of_College_Graduates
cty01003,"Baldwin County, AL",9.8066769
cty01073,"Jefferson County, AL",8.2201691
cty01089,"Madison County, AL",7.8133411
cty01001,"Autauga County, AL",7.3318272
cty01007,"Bibb County, AL",6.3619123
cty01101,"Montgomery County, AL",6.3283997
cty01051,"Elmore County, AL",5.9563322
cty01067,"Henry County, AL",5.501853
cty01043,"Cullman County, AL",5.4961286
cty01033,"Colbert County, AL",5.3847914
cty01081,"Lee County, AL",5.3681908
cty01085,"Lowndes County, AL",5.3595734
cty01009,"Blount County, AL",5.2911649
cty01055,"Etowah County, AL",5.2718029
cty01031,"Coffee County, AL",5.0896568
cty01059,"Franklin County, AL",4.6658754
cty01069,"Houston County, AL",4.4019041
cty01083,"Limestone County, AL",4.3915901
cty01091,"Marengo County, AL",4.2049656
cty05023,"Cleburne County, AR",4.2003279
cty01097,"Mobile County, AL",4.1575031
cty01079,"Lawrence County, AL",4.1106319
cty01039,"Covington County, AL",4.0858173
cty01103,"Morgan County, AL",4.0738678
cty01021,"Chilton County, AL",3.8727283
cty01077,"Lauderdale County, AL",3.8450012
cty01029,"Cleburne County, AL",3.650713
cty01053,"Escambia County, AL",3.616456
cty01071,"Jackson County, AL",3.3166647
cty01019,"Cherokee County, AL",3.2832675
cty01045,"Dale County, AL",3.1354895
cty01049,"DeKalb County, AL",3.0662222
cty01037,"Coosa County, AL",2.8644476
cty01075,"Lamar County, AL",2.8560653
cty01025,"Clarke County, AL",2.7588768
cty01017,"Chambers County, AL",1.4580202
cty01005,"Barbour County, AL",0.5376873
cty01011,"Bullock County, AL",
cty01013,"Butler County, AL",4.2905636
cty01015,"Calhoun County, AL",3.3300066
cty01095,"Marshall County, AL",3.2324982
cty01035,"Conecuh County, AL",2.8369665
cty01041,"Crenshaw County, AL",2.8056831
cty01023,"Choctaw County, AL",2.2976065
cty01093,"Marion County, AL",2.2922311
cty01087,"Macon County, AL",2.1382599
cty01027,"Clay County, AL",1.7269807
cty01047,"Dallas County, AL",1.627615
cty01061,"Geneva County, AL",1.5327678
cty01057,"Fayette County, AL",1.223032
cty01063,"Greene County, AL",
cty01099,"Monroe County, AL",0.70087814
cty01065,"Hale County, AL",0.17739201
cty01105,"Perry County, AL",
cty01117,"Shelby County, AL",10.900869
cty05007,"Benton County, AR",10.577644
cty04021,"Pinal County, AZ",9.7883902
cty01109,"Pike County, AL",7.8915005
cty01125,"Tuscaloosa County, AL",6.952404
cty01131,"Wilcox County, AL",6.6241627
cty01133,"Winston County, AL",6.3411622
cty04025,"Yavapai County, AZ",6.2054729
cty01115,"St. Clair County, AL",6.0140696
cty04013,"Maricopa County, AZ",5.8800507
cty04019,"Pima County, AZ",5.7115574
cty01107,"Pickens County, AL",5.6505232
cty04005,"Coconino County, AZ",5.5671368
cty04003,"Cochise County, AZ",5.5499916
cty04023,"Santa Cruz County, AZ",5.4881334
cty02020,"Anchorage Municipality, AK",5.4829903
cty01111,"Randolph County, AL",5.3341799
cty02110,"Juneau City and Borough, AK",5.0530071
cty04007,"Gila County, AZ",4.770443
cty05003,"Ashley County, AR",4.6031752
cty01123,"Tallapoosa County, AL",4.1933117
cty05021,"Clay County, AR",4.1931815
cty05009,"Boone County, AR",3.9198551
cty01113,"Russell County, AL",3.7027092
cty05015,"Carroll County, AR",3.5093899
cty02122,"Kenai Peninsula Borough, AK",3.4969254
cty04017,"Navajo County, AZ",3.320116
cty05019,"Clark County, AR",3.1688461
cty05005,"Baxter County, AR",2.887208
cty01127,"Walker County, AL",2.6844621
cty04011,"Greenlee County, AZ",2.6062918
cty05001,"Arkansas County, AR",2.4935217
cty01129,"Washington County, AL",2.3089886
cty04009,"Graham County, AZ",2.1740274
cty02170,"Matanuska-Susitna Borough, AK",1.8679008
cty04015,"Mohave County, AZ",1.8335819
cty05017,"Chicot County, AR",1.7395658
cty01121,"Talladega County, AL",1.5728865
cty04012,"La Paz County, AZ",1.4184113
cty02050,"Bethel Census Area, AK",1.2952871
cty04001,"Apache County, AZ",1.2385874
cty02090,"Fairbanks North Star Borough, AK",1.0128746
cty01119,"Sumter County, AL",0.9475441
cty02130,"Ketchikan Gateway Borough, AK",
cty02150,"Kodiak Island Borough, AK",
cty02188,"Northwest Arctic Borough, AK",
cty02270,,0.96796036
cty04027,"Yuma County, AZ",0.22286034
cty05011,"Bradley County, AR",-0.32322216
cty05025,"Cleveland County, AR",
cty05045,"Faulkner County, AR",8.7179813
cty05119,"Pulaski County, AR",7.451889
cty05053,"Grant County, AR",7.267642
cty05027,"Columbia County, AR",6.6147728
cty05085,"Lonoke County, AR",6.540205
cty05031,"Craighead County, AR",6.2545452
cty05043,"Drew County, AR",5.9781771
cty05051,"Garland County, AR",5.4376907
cty05037,"Cross County, AR",5.340251
cty05087,"Madison County, AR",5.2778225
cty05105,"Perry County, AR",5.1556096
cty05035,"Crittenden County, AR",4.9601326
cty05079,"Lincoln County, AR",4.7445846
cty05057,"Hempstead County, AR",4.6439896
cty05029,"Conway County, AR",4.5504742
cty05033,"Crawford County, AR",4.2298088
cty05039,"Dallas County, AR",
cty05089,"Marion County, AR",7.2675714
cty05115,"Pope County, AR",5.1240988
cty05081,"Little River County, AR",4.6453419
cty05075,"Lawrence County, AR",4.5755591
cty05091,"Miller County, AR",4.2615519
cty05063,"Independence County, AR",4.2155199
cty05047,"Franklin County, AR",4.2021618
cty05061,"Howard County, AR",4.1293774
cty05083,"Logan County, AR",3.830246
cty05049,"Fulton County, AR",3.7414851
cty05055,"Greene County, AR",3.6167068
cty05111,"Poinsett County, AR",3.2915177
cty05065,"Izard County, AR",2.8323698
cty05059,"Hot Spring County, AR",2.7311392
cty05109,"Pike County, AR",2.6000748
cty05069,"Jefferson County, AR",1.9404202
cty05041,"Desha County, AR",1.8861132
cty05071,"Johnson County, AR",1.8842602
cty05121,"Randolph County, AR",1.8677378
cty05067,"Jackson County, AR",1.7386847
cty05073,"Lafayette County, AR",
cty05077,"Lee County, AR",
cty05093,"Mississippi County, AR",0.40503502
cty05095,"Monroe County, AR",
cty05097,"Montgomery County, AR",
cty05099,"Nevada County, AR",
cty05101,"Newton County, AR",
cty05107,"Phillips County, AR",1.8328991
cty05123,"St. Francis County, AR",0.85821438
cty05113,"Polk County, AR",-0.20685196
cty05103,"Ouachita County, AR",-0.27224636
cty05117,"Prairie County, AR",
cty06001,"Alameda County, CA",11.077866
cty06061,"Placer County, CA",10.814676
cty06017,"El Dorado County, CA",10.337492
cty06057,"Nevada County, CA",10.273941
cty06041,"Marin County, CA",9.8956451
cty05125,"Saline County, AR",9.8952036
cty06073,"San Diego County, CA",8.7165337
cty06055,"Napa County, CA",8.0335751
cty06027,"Inyo County, CA",7.6671495
cty05127,"Scott County, AR",3.1310744
cty05129,"Searcy County, AR",
cty05143,"Washington County, AR",8.5420475
cty06059,"Orange County, CA",7.3927364
cty06079,"San Luis Obispo County, CA",7.0286522
cty06023,"Humboldt County, CA",6.8946705
cty06013,"Contra Costa County, CA",6.0860214
cty06037,"Los Angeles County, CA",6.0595188
cty06065,"Riverside County, CA",5.8241968
cty06063,"Plumas County, CA",5.6621189
cty05145,"White County, AR",5.5670328
cty06005,"Amador County, CA",5.5441723
cty06045,"Mendocino County, CA",5.5391045
cty06033,"Lake County, CA",5.4085426
cty06007,"Butte County, CA",5.341938
cty06021,"Glenn County, CA",5.0953665
cty06015,"Del Norte County, CA",5.0289993
cty06009,"Calaveras County, CA",4.891223
cty06077,"San Joaquin County, CA",3.9338646
cty05131,"Sebastian County, AR",2.8524294
cty05133,"Sevier County, AR",2.1177397
cty05135,"Sharp County, AR",1.5771179
cty05137,"Stone County, AR",
cty05139,"Union County, AR",3.2599688
cty05141,"Van Buren County, AR",3.1552763
cty05147,"Woodruff County, AR",
cty06067,"Sacramento County, CA",4.9095688
cty06069,"San Benito County, CA",3.3216658
cty06071,"San Bernardino County, CA",3.24541
cty06031,"Kings County, CA",2.533165
cty06019,"Fresno County, CA",2.4634418
cty06025,"Imperial County, CA",2.180892
cty06053,"Monterey County, CA",2.0902748
cty06011,"Colusa County, CA",1.8740635
cty06029,"Kern County, CA",1.3250113
cty06043,"Mariposa County, CA",1.2900982
cty06039,"Madera County, CA",1.1837759
cty05149,"Yell County, AR",0.65475178
cty06047,"Merced County, CA",0.65434837
cty06035,"Lassen County, CA",-0.10116196
cty06049,"Modoc County, CA",
cty06075,"San Francisco County, CA",
cty08037,"Eagle County, CO",13.990002
cty08067,"La Plata County, CO",13.519516
cty08035,"Douglas County, CO",12.844578
cty06081,"San Mateo County, CA",12.252348
cty06085,"Santa Clara County, CA",11.323364
cty08031,"Denver County, CO",10.210791
cty08069,"Larimer County, CO",9.0919914
cty08041,"El Paso County, CO",9.0798416
cty06087,"Santa Cruz County, CA",9.0142517
cty08093,"Park County, CO",8.9211941
cty08083,"Montezuma County, CO",8.4995508
cty06093,"Siskiyou County, CA",7.8282862
cty08039,"Elbert County, CO",7.6397762
cty06111,"Ventura County, CA",7.3041058
cty08077,"Mesa County, CO",7.2881794
cty08051,"Gunnison County, CO",7.1671181
cty06113,"Yolo County, CA",6.589304
cty06097,"Sonoma County, CA",6.533432
cty08071,"Las Animas County, CO",6.1445112
cty06089,"Shasta County, CA",5.7228775
cty06105,"Trinity County, CA",5.2761278
cty06095,"Solano County, CA",5.150465
cty08029,"Delta County, CO",5.0500269
cty08099,"Prowers County, CO",4.8889856
cty08085,"Montrose County, CO",4.8653975
cty08043,"Fremont County, CO",4.7933674
cty06083,"Santa Barbara County, CA",4.631216
cty06115,"Yuba County, CA",3.4360561
cty08045,"Garfield County, CO",3.429697
cty06101,"Sutter County, CA",3.152421
cty06099,"Stanislaus County, CA",3.1496449
cty08005,"Arapahoe County, CO",3.0054932
cty06109,"Tuolumne County, CA",2.9855776
cty06103,"Tehama County, CA",2.7562685
cty08003,"Alamosa County, CO",2.4759464
cty06107,"Tulare County, CA",1.1316462
cty08001,"Adams County, CO",
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08013,"Boulder County, CO",
cty08014,"Broomfield County, CO",
cty08015,"Chaffee County, CO",
cty08021,"Conejos County, CO",
cty08055,"Huerfano County, CO",
cty08059,"Jefferson County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08075,"Logan County, CO",3.5440559
cty08081,"Moffat County, CO",
cty11001,"District of Columbia, DC",13.830742
cty12011,"Broward County, FL",10.532467
cty09001,"Fairfield County, CT",9.2035828
cty09011,"New London County, CT",8.9677505
cty09007,"Middlesex County, CT",8.6614933
cty12057,"Hillsborough County, FL",8.4548435
cty10005,"Sussex County, DE",8.3912392
cty12021,"Collier County, FL",8.3233013
cty09009,"New Haven County, CT",7.8104897
cty09005,"Litchfield County, CT",7.3781204
cty12061,"Indian River County, FL",7.3402615
cty12015,"Charlotte County, FL",7.309638
cty09003,"Hartford County, CT",6.9828815
cty08101,"Pueblo County, CO",6.968214
cty10003,"New Castle County, DE",6.9244499
cty12037,"Franklin County, FL",6.8644533
cty09013,"Tolland County, CT",6.8388195
cty12031,"Duval County, FL",6.7273026
cty12053,"Hernando County, FL",6.397603
cty12017,"Citrus County, FL",6.352108
cty12009,"Brevard County, FL",6.0236797
cty08125,"Yuma County, CO",5.6171913
cty08119,"Teller County, CO",5.29492
cty12019,"Clay County, FL",4.9474468
cty09015,"Windham County, CT",4.8328934
cty12001,"Alachua County, FL",4.6457176
cty12005,"Bay County, FL",4.4531937
cty10001,"Kent County, DE",4.4073124
cty08105,"Rio Grande County, CO",3.1307678
cty08121,"Washington County, CO",
cty08123,"Weld County, CO",
cty12033,"Escambia County, FL",5.5306873
cty12045,"Gulf County, FL",4.2082462
cty12043,"Glades County, FL",3.6840034
cty12035,"Flagler County, FL",3.5536385
cty12059,"Holmes County, FL",3.4482841
cty12023,"Columbia County, FL",3.4417076
cty08089,"Otero County, CO",3.1259394
cty12055,"Highlands County, FL",2.9033442
cty08087,"Morgan County, CO",2.7140799
cty12013,"Calhoun County, FL",2.7079563
cty12065,"Jefferson County, FL",2.5327187
cty12007,"Bradford County, FL",2.1444082
cty12027,"DeSoto County, FL",1.9137249
cty12063,"Jackson County, FL",1.6148148
cty12047,"Hamilton County, FL",1.5041466
cty12003,"Baker County, FL",1.0399308
cty12041,"Gilchrist County, FL",0.63381052
cty12039,"Gadsden County, FL",0.19392967
cty12029,"Dixie County, FL",-0.3391571
cty12049,"Hardee County, FL",
cty12051,"Hendry County, FL",
cty12067,"Lafayette County, FL",
cty12109,"St. Johns County, FL",13.963783
cty12131,"Walton County, FL",13.011643
cty12081,"Manatee County, FL",10.431162
cty12101,"Pasco County, FL",9.8900843
cty12099,"Palm Beach County, FL",9.1860485
cty12071,"Lee County, FL",8.4929886
cty12095,"Orange County, FL",8.4070854
cty12087,"Monroe County, FL",8.2953968
cty12085,"Martin County, FL",8.2588615
cty12103,"Pinellas County, FL",8.2541943
cty12089,"Nassau County, FL",7.9043064
cty13027,"Brooks County, GA",7.8762541
cty13015,"Bartow County, GA",7.7179899
cty12097,"Osceola County, FL",7.2950497
cty12119,"Sumter County, FL",7.1803327
cty12129,"Wakulla County, FL",7.1551466
cty12086,"Miami-Dade County, FL",7.1272945
cty12115,"Sarasota County, FL",6.9797955
cty12117,"Seminole County, FL",6.8411446
cty12069,"Lake County, FL",6.7315903
cty12091,"Okaloosa County, FL",6.458992
cty13017,"Ben Hill County, GA",5.9330564
cty12127,"Volusia County, FL",5.7369041
cty13021,"Bibb County, GA",5.6580563
cty12083,"Marion County, FL",5.2952919
cty12113,"Santa Rosa County, FL",5.2756634
cty12105,"Polk County, FL",5.1774931
cty12111,"St. Lucie County, FL",4.9611769
cty13031,"Bulloch County, GA",4.8178272
cty12133,"Washington County, FL",4.5892811
cty12107,"Putnam County, FL",4.5661545
cty12075,"Levy County, FL",4.0239153
cty12073,"Leon County, FL",3.8885345
cty12077,"Liberty County, FL",
cty13009,"Baldwin County, GA",4.681406
cty13013,"Barrow County, GA",4.5891171
cty13019,"Berrien County, GA",4.2330618
cty13011,"Banks County, GA",3.2063174
cty13023,"Bleckley County, GA",1.6122561
cty12079,"Madison County, FL",1.3972321
cty12125,"Union County, FL",1.2506094
cty13005,"Bacon County, GA",1.248064
cty13035,"Butts County, GA",0.95191288
cty12123,"Taylor County, FL",0.8896389
cty12093,"Okeechobee County, FL",0.84077263
cty12121,"Suwannee County, FL",0.54554272
cty13001,"Appling County, GA",0.45589352
cty13003,"Atkinson County, GA",
cty13025,"Brantley County, GA",0.23864698
cty13029,"Bryan County, GA",
cty13121,"Fulton County, GA",14.254267
cty13057,"Cherokee County, GA",13.943277
cty13145,"Harris County, GA",12.145118
cty13133,"Greene County, GA",11.937403
cty13077,"Coweta County, GA",11.393815
cty13097,"Douglas County, GA",10.976599
cty13051,"Chatham County, GA",10.363319
cty13073,"Columbia County, GA",10.277271
cty13067,"Cobb County, GA",10.063786
cty13083,"Dade County, GA",8.6038523
cty13047,"Catoosa County, GA",8.3874531
cty13085,"Dawson County, GA",7.9653072
cty13111,"Fannin County, GA",7.9283123
cty13137,"Habersham County, GA",6.7695484
cty13127,"Glynn County, GA",6.721653
cty13103,"Effingham County, GA",6.0914912
cty13039,"Camden County, GA",5.8086147
cty13135,"Gwinnett County, GA",5.55863
cty13079,"Crawford County, GA",5.5088549
cty13147,"Hart County, GA",5.4702883
cty13045,"Carroll County, GA",5.401741
cty13089,"DeKalb County, GA",4.8741035
cty13091,"Dodge County, GA",4.82897
cty13139,"Hall County, GA",4.4075699
cty13115,"Floyd County, GA",4.2520571
cty13109,"Evans County, GA",4.1449633
cty13059,"Clarke County, GA",3.6789398
cty13119,"Franklin County, GA",3.6329565
cty13131,"Grady County, GA",3.5832462
cty13095,"Dougherty County, GA",3.5310631
cty13123,"Gilmer County, GA",3.4976244
cty13075,"Cook County, GA",3.4887342
cty13099,"Early County, GA",3.1732178
cty13063,"Clayton County, GA",2.8262558
cty13143,"Haralson County, GA",2.5576148
cty13129,"Gordon County, GA",2.4857826
cty13055,"Chattooga County, GA",2.0849361
cty13081,"Crisp County, GA",1.9982471
cty13087,"Decatur County, GA",1.7441254
cty13105,"Elbert County, GA",1.2217593
cty13043,"Candler County, GA",1.1261587
cty13071,"Colquitt County, GA",1.1180077
cty13069,"Coffee County, GA",0.98421764
cty13033,"Burke County, GA",0.06259346
cty13093,"Dooly County, GA",0.003704071
cty13049,"Charlton County, GA",-0.61417294
cty13053,"Chattahoochee County, GA",
cty13065,"Clinch County, GA",
cty13107,"Emanuel County, GA",-0.023787498
cty13113,"Fayette County, GA",
cty13117,"Forsyth County, GA",
cty13141,"Hancock County, GA",
cty13151,"Henry County, GA",12.785675
cty13223,"Paulding County, GA",12.520342
cty13241,"Rabun County, GA",12.071634
cty13211,"Morgan County, GA",11.959457
cty16065,"Madison County, ID",11.93313
cty17005,"Bond County, IL",11.055287
cty17031,"Cook County, IL",9.9468193
cty13217,"Newton County, GA",9.5392208
cty13153,"Houston County, GA",9.0991507
cty17073,"Henry County, IL",8.6153507
cty17043,"DuPage County, IL",8.4103203
cty17027,"Clinton County, IL",8.3631363
cty13207,"Monroe County, GA",8.1506777
cty13187,"Lumpkin County, GA",8.1218529
cty17025,"Clay County, IL",7.9454203
cty17001,"Adams County, IL",7.672698
cty17007,"Boone County, IL",7.2527142
cty16087,"Washington County, ID",7.131094
cty13169,"Jones County, GA",6.7726517
cty13185,"Lowndes County, GA",6.5363865
cty17049,"Effingham County, IL",6.3596983
