cty,Name,Change_in_Poverty_Rate
cty01049,"DeKalb County, AL",3.596983
cty01077,"Lauderdale County, AL",3.1324511
cty01095,"Marshall County, AL",3.0775738
cty01099,"Monroe County, AL",2.2873707
cty01037,"Coosa County, AL",1.9441414
cty01015,"Calhoun County, AL",1.8788881
cty01043,"Cullman County, AL",1.2760677
cty01029,"Cleburne County, AL",1.1376371
cty01071,"Jackson County, AL",1.0469627
cty01031,"Coffee County, AL",0.54458332
cty01089,"Madison County, AL",0.47949409
cty01027,"Clay County, AL",0.28934288
cty20015,"Butler County, KS",0.27163029
cty01025,"Clarke County, AL",0.26249123
cty01021,"Chilton County, AL",0.077054977
cty01101,"Montgomery County, AL",-0.093921661
cty01055,"Etowah County, AL",-0.22047997
cty01005,"Barbour County, AL",-0.44301033
cty01069,"Houston County, AL",-0.5459938
cty01033,"Colbert County, AL",-0.57223511
cty01045,"Dale County, AL",-0.58902454
cty01035,"Conecuh County, AL",-0.72204018
cty01073,"Jefferson County, AL",-0.80216312
cty01075,"Lamar County, AL",-0.94230461
cty01093,"Marion County, AL",-0.95237541
cty01083,"Limestone County, AL",-1.1536865
cty01051,"Elmore County, AL",-1.3550777
cty01067,"Henry County, AL",-1.7939529
cty01097,"Mobile County, AL",-2.2660294
cty01059,"Franklin County, AL",-2.2901936
cty01003,"Baldwin County, AL",-2.4198437
cty01041,"Crenshaw County, AL",-2.4765682
cty01017,"Chambers County, AL",-2.8031864
cty01019,"Cherokee County, AL",-2.9452181
cty01091,"Marengo County, AL",-3.2894077
cty01061,"Geneva County, AL",-3.4322739
cty20021,"Cherokee County, KS",-3.5943451
cty01039,"Covington County, AL",-3.9196129
cty01057,"Fayette County, AL",-4.2132912
cty01047,"Dallas County, AL",-4.2388725
cty01011,"Bullock County, AL",-4.2441902
cty01009,"Blount County, AL",-4.3014374
cty01081,"Lee County, AL",-4.7108631
cty01053,"Escambia County, AL",-5.2269154
cty01001,"Autauga County, AL",-5.3485031
cty01087,"Macon County, AL",-6.4595299
cty01079,"Lawrence County, AL",-7.3921518
cty01023,"Choctaw County, AL",-7.3945675
cty01007,"Bibb County, AL",-9.2884598
cty01013,"Butler County, AL",-9.4896431
cty01063,"Greene County, AL",
cty01065,"Hale County, AL",-9.943306
cty01085,"Lowndes County, AL",
cty01103,"Morgan County, AL",3.4069319
cty01105,"Perry County, AL",
cty02150,"Kodiak Island Borough, AK",5.0459471
cty01133,"Winston County, AL",3.347086
cty05015,"Carroll County, AR",3.1944399
cty05019,"Clark County, AR",2.4471531
cty04011,"Greenlee County, AZ",2.1998081
cty05009,"Boone County, AR",2.1085768
cty02122,"Kenai Peninsula Borough, AK",1.9352455
cty01109,"Pike County, AL",1.8245564
cty05007,"Benton County, AR",1.6040268
cty01113,"Russell County, AL",1.4396629
